Filter,ITK,SITK,Remark,ToDo
SobelEdgeDetectionImageFilter,True,True,,False
SparseFieldFourthOrderLevelSetImageFilter,True,False,,False
SparseFieldLevelSetImageFilter,True,False,,False
SpatialObjectToImageFilter,True,False,,False
SpeckleNoiseImageFilter,True,True,,False
SqrtImageFilter,True,True,,False
SquareImageFilter,True,True,,False
SquaredDifferenceImageFilter,True,True,,False
StandardDeviationProjectionImageFilter,True,True,,False
StatisticsImageFilter,True,True,,False
StatisticsRelabelImageFilter,True,False,,False
StreamingImageFilter,True,False,,False
SubtractImageFilter,True,True,,False
SumProjectionImageFilter,True,True,,False
TanImageFilter,True,True,,False
TernaryAddImageFilter,True,True,,False
TernaryMagnitudeImageFilter,True,True,,False
TernaryMagnitudeSquaredImageFilter,True,True,,False
ThresholdImageFilter,True,True,,False
ThresholdLabelerImageFilter,True,False,,False
ThresholdMaximumConnectedComponentsImageFilter,True,True,,False
ThresholdSegmentationLevelSetImageFilter,True,True,,False
TikhonovDeconvolutionImageFilter,True,True,,False
TileImageFilter,True,True,,False
TobogganImageFilter,True,False,,False
TriangleThresholdImageFilter,True,True,,False
UnaryMinusImageFilter,False,True,,False
UnsharpMaskLevelSetImageFilter,True,False,,False
ValuedRegionalMaximaImageFilter,False,True,,False
ValuedRegionalMinimaImageFilter,False,True,,False
VectorCastImageFilter,True,False,,False
VectorConfidenceConnectedImageFilter,True,True,,False
VectorConnectedComponentImageFilter,True,True,,False
VectorCurvatureAnisotropicDiffusionImageFilter,True,False,,False
VectorExpandImageFilter,True,False,,False
VectorGradientAnisotropicDiffusionImageFilter,True,False,,False
VectorGradientMagnitudeImageFilter,True,False,,False
VectorIndexSelectionCastImageFilter,True,True,,False
VectorMagnitudeImageFilter,True,True,,False
VectorResampleImageFilter,True,False,,False
VectorRescaleIntensityImageFilter,True,False,,False
VectorThresholdSegmentationLevelSetImageFilter,True,False,,False
VnlComplexToComplexFFTImageFilter,True,False,,False
VnlForwardFFTImageFilter,True,False,,False
VnlHalfHermitianToRealInverseFFTImageFilter,True,False,,False
VnlInverseFFTImageFilter,True,False,,False
VnlRealToHalfHermitianForwardFFTImageFilter,True,False,,False
VoronoiSegmentationImageFilter,True,False,,False
VotingBinaryHoleFillingImageFilter,True,True,,False
VotingBinaryImageFilter,True,True,,False
VotingBinaryIterativeHoleFillingImageFilter,True,True,,False
WarpImageFilter,True,True,,False
WatershedImageFilter,True,False,,False
WeightedAddImageFilter,True,False,,False
WhiteTopHatImageFilter,True,True,,False
WienerDeconvolutionImageFilter,True,True,,False
WrapPadImageFilter,True,True,,False
XorImageFilter,True,True,,False
YenThresholdImageFilter,True,True,,False
ZeroCrossingBasedEdgeDetectionImageFilter,True,True,,False
ZeroCrossingImageFilter,True,True,,False
ZeroFluxNeumannPadImageFilter,True,True,,False
